tahun;kecamatan ;desa ;tgl kejadian;jenis bencana;jumlah kejadian;korban jiwa;ruksak berat;ruksak sedang;rusak rigan
2019;Cibatu;Cibunar;06/02/2019;Evakuasi Sarang Tawon;1;;;;
2019;Garut kota;Muara Sanding;06/02/2019;Kebakaran Rumah;1;;;;
2019;Karangpawitan ;Mekarsari;06/03/2019;Kebakaran Rumah;1;;;1;
2019;Kersamanah;Kersamanah;06/05/2019;Kebakaran Rumah;1;;;;1
2019;Bl. Limbangan;Limbangan tengah;06/06/2019;Kebakaran Rumah;1;;;;
2019;Cibatu;Keresek;06/07/2019;Kebakaran Kendaraan;1;;;;
2019;Karangpawitan ;Situsari;06/08/2019;Kebakaran Rumah;1;;;1;
2019;Wanaraja;Sindang Prabu;06/09/2019;Kebakaran Rumah;1;;;;1
2019;Leles;Ciburial;06/10/2019;Kebakaran Rumah;1;;1;;
2019;Leuwigoong;Leuwigoong;06/11/2019;Kebakaran Rumah;1;;;;1
2019;Garut kota;Paminggir;06/11/2019;Kebakaran Rumah;1;;4;;
2019;Cilawu;Ngamplang;06/11/2019;Kebakaran Rumah;1;;;;
2019;Cikajang;Cikajang;06/12/2019;Kebakaran Rumah;1;;1;;
2019;Leuwigoong;Leuwigoong;06/11/2019;Kebakaran Rumah;1;;1;;
2019;Singajaya;Singajaya;13/6/2019;Kebakaran Rumah;1;;1;1;
2019;Selaawi;Cirapuhan;13/6/2019;Kebakaran Pasar;1;;;;
2019;Tarogong Kaler;Sirnajaya;07/12/2019;Kebakaran Rumah;1;;1;;
2019;Tarogong Kidul;Sukagalih;15/7/2019;Kebakaran Hutan;1;;;;
2019;Cisompet;Depok;16/7/2019;Keracunan masal;1;6;;;
2019;Tarogong Kaler;Jati;20/7/2019;Kebakaran Hutan;1;;;;
2019;Garut Kota;Kota wetan;25/7/2019;Kebakaran Hutan;1;;;;
2019;Pasirwangi;Sarimukti;29/7/2019;Kebakaran Rumah;1;;11;;
2019;Cilawu;Ngamplangsari;30/7/2019;Pergerakan Tanah;1;;;;
2019;Cisompet;Cisompet;31/7/2019;Kebakaran Rumah;1;;3;;
2019;Cikajang;Pasar Lama;02/08/2019;Gempa Bumi;1;;;;
2019;Banjarwangi;Banjarwangi;02/08/2019;Gempa Bumi;1;;1;;1
2019;Bungbulang;Mekarjaya;02/08/2019;Gempa Bumi;1;;;;1
2019;Mekarmukti;Mekarmukti;02/08/2019;Gempa Bumi;1;;;;1
2019;Garut Kota;Regol;02/08/2019;Gempa Bumi;1;;1;;
2019;Banjarwangi;Mulyajaya;02/08/2019;Gempa Bumi;1;;;;
2019;Pamulihan;Pakenjeng;02/08/2019;Gempa Bumi;1;;;1;
2019;Cisurupan;Cisurupan;02/08/2019;Gempa Bumi;1;;;1;
2019;Cisewu;Karangsewu;02/08/2019;Gempa Bumi;1;;;;
2019;Cisewu;Cikarang;02/08/2019;Gempa Bumi;1;;;;
2019;Cisurupan;Cipaganti;08/03/2019;Kebakaran Hutan;1;;;;
2019;Mekarmukti;Mekarsari;08/03/2019;kebakaran Rumah ;1;;1;;
2019;Karangtengah;Cinta;08/04/2019;Kebakaran Hutan;1;;;;
2019;Tarogong Kidul;Sukagalih;08/06/2019;Pohon Tumbang;1;;;;
2019;Pakenjeng;Tjmulya;08/11/2019;PergerakanTanah;1;;;;
2019;Pamulihan;Gurumukti;17/8/2019;Kebakaran Hutan;1;;;;
2019;Pakenjeng;Pasirlagu;17/8/2019;kebakaran Rumah ;1;;;;1
2019;Cibiuk;Cibiuk kaler;18/8/2019;kebakaran Rumah ;1;;3;;
2019;Tarogong Kaler;Pasawahan/G.Guntur;21/8/2019;Kebakaran Hutan;1;;;;
2019;Karangpawitan;Karangmulya;22/8/2019;Kebarakan Rumah;2;;;;
2019;Samarang;Cinta Rakyat;28/8/2019;Kebarakan Rumah;1;;2;;
2019;BL.LIMBANGAN;PASIR WARU;09/02/2019;Kebakaran Hutan;1;;;;
2019;PAMEUNGPEUK;PAAS;09/02/2019;Kebakaran Hutan;1;;2;;
2019;TAROGONG KALER;BLOK CADAS GANTUNG GUNUNG GUNTUR;09/03/2019;Kebakaran Hutan;1;;;;
2019;CILAWU;DAYEUH MANGGUNG;09/03/2019;Kebakaran Hutan;1;;1;;
2019;TAROGONG KIDUL;JAYAWARAS;09/04/2019;Kebakaran Hutan;1;5;1;;
2019;BARUSUDA;CIGEDUG;09/04/2019;Kebakaran Hutan;1;8;1;;
2019;CIBATU;KERTAJAYA;09/04/2019;Angin Puting Beliung;1;;;;1
2019;CIBATU;WANAKERTA;09/04/2019;Kebakaran Hutan;1;;;;
2019;CISOMPET;SUKAMUKTI;09/05/2019;Kebarakan Rumah;1;4;;;
2019;PAMEUNGPEUK;PAMENGPEUK;09/05/2019;Kebakaran Hutan;1;;;;
2019;TAROGONG KALER;JATI;09/05/2019;Kebakaran Hutan;1;;;;
2019;BAYONGBONG;SIRNAGALIH;09/05/2019;Kebakaran Hutan;1;;;;
2019;KARANGTENGAH;SINDANGGALIH;09/06/2019;Kebarakan Rumah;1;4;;;
2019;KARANGPAWITAN;TANJUNGSARI;09/06/2019;Kebakaran Hutan;1;;;;
2019;CILAWU;SUKATANI;09/09/2019;Kebarakan Rumah;1;4;1;;
2019;PAMULIHAN;GARUMUKTI;09/10/2019;Kebakaran Hutan;1;;;;
2019;LELES;HARUMAN;09/11/2019;Kebakaran Hutan;1;;;;
2019;CIBALONG;MEKARSARI;09/11/2019;Kebakaran Hutan;1;;;;
2019;GARUT KOTA;KOTA WETAN;09/11/2019;Kebakaran Hutan;1;;;;
2019;BL.LIMBANGAN;CIWANGI;09/11/2019;Kebarakan Rumah;1;29;;;1
2019;CILAWU;PASANGGRAHAN;09/12/2019;Kebakaran Hutan;1;;;;
2019;CISURUPAN;SUKATANI;13/09/2019;Kebarakan Rumah;1;;1;;
2019;SELAAWI;SAMIDA;13/09/2019;Kebarakan Rumah;1;;1;;
2019;GARUT KOTA;KOTA KULON;14/09/2019;Kebakaran Hutan;1;;;;
2019;SAMARANG;PARAKAN;14/09/2019;Kebarakan Rumah;1;;6;;
2019;TAROGONG KALER;RANCABANGO;15/09/2019;Kebakaran Hutan;1;;;;
2019;PAMEUNGPEUK;PAAS;17/09/2019;Kebarakan Rumah;1;;1;;
2019;CIBIUK;MAJASARI;18/09/2019;Kebakaran Hutan;1;;;;
2019;CIKELET;PAMALAYAN;18/09/2019;Kebakaran Hutan;1;;;;
2019;BAYONGBONG;PANEMBONG;19/09/2019;Kebarakan Rumah;1;;3;;
2019;CIBATU;CIHUMA;20/09/2019;Kebarakan Rumah;1;;1;;
2019;BANYURESMI;BANYURESMI;22/09/2019;Kebakaran Hutan;1;;;;
2019;Kersamanah ;Kersamanah ;21/10/2019;Angin Puting Beliung;1;;;220;
2019;Banyuresmi ;Sukamukti ;20/10/2019;Angin Puting Beliung;1;;;;
2019;Cisurupan ;Pamulihan ;20/10/2019;Angin Puting Beliung;1;;;;
2019;Cigedug;Cintanagara ;20/10/2019;Kebakaran Hutan;1;;;;
2019;Selaawi;Cigawir ;23/10/2019;Kebakaran Hutan;1;;;;
2019;bayongbong;Mulyasari ;24/10/2019;Kebakaran Hutan;1;;;;
2019;Cibatu;Kertajaya ;25/10/2019;Kebakaran Hutan;1;;;;
2019;Pangatikan;Sukahurip ;25/10/2019;Kebakaran Hutan;1;;;;
2019;Wanajara;Wanakerta ;25/10/2019;Kebakaran Hutan;1;;;;
2019;Cisurupan;Sirnajaya;25/10/2019;Kebakaran Hutan;1;;;;
2019;Cikajang ;Cikandang ;25/10/2019;Kebakaran Hutan;1;;;;
2019;Cilawu;Pasanggrahan ;28/10/2019;Pergerakan Tanah;1;;;;
2019;Leles;Haruman ;29/10/2019;Pergerakan Tanah;1;;;;3
2019;Peundeuy;Sukanegara ;31/10/2019;Tanah Longsor;1;;;;
2019;Sukawening;Sukawening;11/08/2019;Kebakaran Hutan;1;8;2;;
2019;Malangbong;Bunisari;11/08/2019;Pohon Tumbang;1;;;;1
2019;Tarogong Kaler;Rancabango;11/08/2019;Kebakaran Hutan;1;;;;
2019;SELAAWI;SAMIDA;11/08/2019;Angin Puting Beliung;1;;;;23
2019;Cilawu;Cilawu;11/08/2019;Kebakaran Hutan;1;;;;
2019;Tarogong Kaler;Rancabango;11/10/2019;Kebakaran Hutan;1;;;;
2019;Samarang;Sukakarya;11/11/2019;Kebakaran Hutan;1;;;;
2019;Tarogong Kaler;Pasawahan;11/12/2019;Kebakaran Hutan;1;;;;
2019;Cilawu;Mangku Rakyat;13/11/2019;Angin Puting Beliung;1;;;1;14
2019;Tarogong Kidul;Sukagalih;13/11/2019;Pohon Tumbang;1;;;1;
2019;Tarogong Kidul;Cibunar;13/11/2019;Angin Puting Beliung;1;;;19;1
2019;Cisompet;Sukamukti;14/11/2019;Kebakaran Hutan;1;;;;
2019;Leuwigoong;Karangsari;16/11/2019;Kebakaran Hutan;1;;;;
2019;CIBATU;KERTAJAYA;17/11/2019;Orang Tenggelam;1;;;;
2019;Kadungora;Lebak Jero;18/11/2019;Kebakaran Hutan;1;;;;
2019;Kadungora;Ranca Salak;18/11/2019;Pergerakan Tanah;1;;;;
2019;TALAGA BODAS;;21/11/2019;Kebakaran Hutan;1;;;;
2019;Malangbong;Bunisari;22/11/2019;Angin Puting Beliung;1;;2;;4
2019;Tarogong Kaler;Rancabango;22/11/2019;Banjir;1;48;;;
2019;Malangbong;Mekarmulya;25/11/2019;Pohon Tumbang;1;3;;;1
2019;Cikajang;Mekarsari;25/11/2019;Pergerakan Tanah;1;;;;
2019;Tarogong Kidul;Haurpanggung;26/11/2019;Kebakaran Kios;1;;;;
2019;Cisurupan;Balewangi;26/11/2019;Pergerakan Tanah;1;;3;;
2019;Sukaresmi;Sukalillah;28/11/2019;Kebakaran Sekolah;1;1;;;
2019;CISOMPET;DEPOK;12/03/2019;Kebakaran Sekolah;1;;;;
2019;PAMULIHAN;GARUMUKTI;12/06/2019;Tanah Longsor;1;;;;
2019;TALEGONG;SUKAMAJU;12/06/2019;Tanah Longsor;1;;;1;
2019;CILAWU;KP. DESA KOLOT;12/07/2019;Angin Puting Beliung;1;;;4;
2019;CILAWU;KP CIPARI;12/07/2019;Angin Puting Beliung;1;;;15;
2019;CILAWU;KP CIHAREUDAY;12/07/2019;Angin Puting Beliung;1;;;5;
2019;CILAWU;KP SUKA IKHLAS;12/07/2019;Angin Puting Beliung;1;;;1;
2019;CILAWU;KP CIHALIMUN;12/07/2019;Angin Puting Beliung;1;;;2;
2019;PAMULIHAN;LINGGAJATI;14/12/2019;Tanah Longsor;1;;;;
2019;CIBATU;MEKARSARI;19/12/2019;Tanah Longsor;1;;;;
2019;TAROGONG KALER;RANCABANGO;20/12/2019;Pohon Tumbang;1;;;;
2019;PAMULIHAN;GARUMUKTI;26/12/2019;Tanah Longsor;1;;;;
2019;BANYURESMI;SUKARATU;27/12/2019;Angin Puting Beliung;1;;1;3;
2019;KARANGTENGAH;CINTAMANIK;27/12/2019;Tanah Longsor;1;;;;
2019;Cikelet;Girimukti ;29/12/2019;Tanah Longsor;1;;;;
2019;Cikajang;Karamatwangi ;30/12/2019;Tanah Longsor;1;;;;
2020;Kersamanah;Kersamanah ;01/01/2020;Angin Puting Beliung;1;;;;
2020;Karangpawitan;Sindanggalih ;02/01/2020;Tanah Longsor;1;;;;1
2020;Banjarwangi;Jayabakti;04/01/2020;Tanah Longsor;1;8;;;
2020;Pamulihan;Pakenjeng;08/01/2020;Tanah Longsor;1;1;;;
2020;Banjarwangi;Kadongdong;09/01/2020;Tanah Longsor;1;;3;;
2020;Banjarwangi;Tanjungjaya;09/01/2020;Tanah Longsor;1;;1;;
2020;Pakenjeng;Tanjungjaya;09/01/2020;Tanah Longsor;1;;;;
2020;Bungbulang;Mekarjaya;09/01/2020;Tanah Longsor;1;;;;3
2020;Singajaya;Singajaya;10/01/2020;Tanah Longsor;1;;;;
2020;Singajaya;Sukawangi;10/01/2020;Tanah Longsor;1;;;;
2020;Bungbulang;Wangunjaya;13/01/2020;Tanah Longsor;1;19;1;;
2020;Bungbulang;Gunung Jampang;14/01/2020;Tanah Longsor;1;3;;1;
2020;Bungbulang;Hegarmanah;14/01/2020;Tanah Longsor;1;3;;;1
